dataset;idtweets;date;time;city
mexico_tener_morf;x1460034813105098758;15/11/2021;0:00:00;México
mexico_tener_morf;x1460034814006886403;15/11/2021;0:00:00;México
mexico_tener_morf;x1460034814006886403;15/11/2021;0:00:00;México
caracas_ser_morf;x1460034815420370947;15/11/2021;0:00:00;Caracas
caracas_tener_morf;x1460034815420370947;15/11/2021;0:00:00;Caracas
lima_ser_morf;x1460034849734070273;15/11/2021;0:00:08;Lima
santiago_ser_morf;x1460034856612732928;15/11/2021;0:00:10;Santiago
mexico_ser_morf;x1460034867970940934;15/11/2021;0:00:13;México
lima_hacer_morf;x1460034872379068416;15/11/2021;0:00:14;Lima
santiago_hacer_morf;x1460034909318254594;15/11/2021;0:00:23;Santiago
santiago_hacer_peri;x1460034928867872771;15/11/2021;0:00:27;Santiago
madrid_ser_morf;x1460034981217067010;15/11/2021;0:00:40;Madrid
santiago_ser_morf;x1460034996513607680;15/11/2021;0:00:43;Santiago
caracas_ser_morf;x1460035012837924864;15/11/2021;0:00:47;Caracas
santiago_tener_peri;x1460035035432505348;15/11/2021;0:00:53;Santiago
santiago_hacer_morf;x1460035053078171653;15/11/2021;0:00:57;Santiago
aires_ser_morf;x1460035079690989571;15/11/2021;0:01:03;Buenos Aires
caracas_ir_morf;x1460035084933808129;15/11/2021;0:01:05;Caracas
lima_tener_morf;x1460035102642262018;15/11/2021;0:01:09;Lima
santiago_tener_morf;x1460035120547733505;15/11/2021;0:01:13;Santiago
santiago_ser_morf;x1460035120547733505;15/11/2021;0:01:13;Santiago
santiago_ser_morf;x1460035134913089539;15/11/2021;0:01:16;Santiago
lima_hacer_morf;x1460035221844226048;15/11/2021;0:01:37;Lima
madrid_ser_morf;x1460035228538482693;15/11/2021;0:01:39;Madrid
caracas_hacer_morf;x1460035237493317634;15/11/2021;0:01:41;Caracas
lima_ser_morf;x1460035276923981829;15/11/2021;0:01:50;Lima
caracas_tener_morf;x1460035280690458631;15/11/2021;0:01:51;Caracas
aires_ser_morf;x1460035308733489156;15/11/2021;0:01:58;Buenos Aires
aires_hacer_peri;x1460035311598243844;15/11/2021;0:01:59;Buenos Aires
mexico_hacer_peri;x1460035320590704642;15/11/2021;0:02:01;México
aires_ser_peri;x1460035350949203970;15/11/2021;0:02:08;Buenos Aires
madrid_tener_morf;x1460035362580017158;15/11/2021;0:02:11;Madrid
aires_ser_morf;x1460035365075628040;15/11/2021;0:02:11;Buenos Aires
santiago_tener_morf;x1460035402874585093;15/11/2021;0:02:20;Santiago
lima_tener_morf;x1460035424764710914;15/11/2021;0:02:26;Lima
aires_ser_morf;x1460035432180293637;15/11/2021;0:02:27;Buenos Aires
mexico_hacer_morf;x1460035438073159682;15/11/2021;0:02:29;México
caracas_ser_morf;x1460035440749289474;15/11/2021;0:02:29;Caracas
aires_ser_peri;x1460035462886834178;15/11/2021;0:02:35;Buenos Aires
mexico_ser_morf;x1460035465134977028;15/11/2021;0:02:35;México
santiago_tener_morf;x1460035490204164104;15/11/2021;0:02:41;Santiago
aires_hacer_peri;x1460035500241154050;15/11/2021;0:02:44;Buenos Aires
aires_ser_peri;x1460035505513451523;15/11/2021;0:02:45;Buenos Aires
aires_ir_morf;x1460035538942054400;15/11/2021;0:02:53;Buenos Aires
mexico_ser_morf;x1460035554691751943;15/11/2021;0:02:57;México
mexico_ser_morf;x1460035554691751943;15/11/2021;0:02:57;México
santiago_tener_morf;x1460035590225752065;15/11/2021;0:03:05;Santiago
santiago_hacer_peri;x1460035598765330433;15/11/2021;0:03:07;Santiago
